Series_ID,Series_Name,Gender,Year,Period,Date,Value
LNU04034237,Educational Services,M,2019,M01,2019-01-01,5.1
LNU04034237,Educational Services,M,2019,M02,2019-02-01,5.4
LNU04034237,Educational Services,M,2019,M03,2019-03-01,2.3
LNU04034237,Educational Services,M,2019,M04,2019-04-01,1.7
LNU04034237,Educational Services,M,2019,M05,2019-05-01,3.1
LNU04034237,Educational Services,M,2019,M06,2019-06-01,4.8
LNU04034237,2021,M,2019,M07,2019-07-01,5.7
LNU04034237,Educational Services,M,2019,M08,2019-08-01,3.9
LNU04034237,Educational Services,M,2019,M09,2019-09-01,2.7
LNU04034237,Educational Services,M,2019,M10,2019-10-01,1.8
LNU04034237,Educational Services,M,2019,M11,2019-11-01,3.7
LNU04034237,Educational Services,M,2019,M12,2019-12-01,4.2
LNU04034237,Educational Services,M,2020,M01,2020-01-01,4.5
LNU04034237,Educational Services,M,2020,M02,2020-02-01,2.9
LNU04034237,Educational Services,M,2020,M03,2020-03-01,4.6
LNU04034237,Educational Services,M,2020,M04,2020-04-01,12.6
LNU04034237,Educational Services,M,2020,M05,2020-05-01,12.9
LNU04034237,Educational Services,M,2020,M06,2020-06-01,13.6
LNU04034237,Educational Services,M,2020,M07,2020-07-01,13.5
LNU04034237,Educational Services,M,2020,M08,2020-08-01,9.5
LNU04034237,Educational Services,M,2020,M09,2020-09-01,8.6
LNU04034237,Educational Services,M,2020,M10,2020-10-01,3.9
LNU04034237,Educational Services,M,2020,M11,2020-11-01,4.5
LNU04034237,Educational Services,M,2020,M12,2020-12-01,5.7
LNU04034237,Educational Services,M,2021,M01,2021-01-01,5.8
LNU04034237,Educational Services,M,2021,M02,2021-02-01,4
LNU04034237,Educational Services,M,2021,M03,2021-03-01,3.7
LNU04034237,Educational Services,M,2021,M04,2021-04-01,3.7
LNU04034237,Educational Services,M,2021,M05,2021-05-01,4.7
LNU04034237,Educational Services,M,2021,M06,2021-06-01,5.3
LNU04034238,Educational Services,W,2019,M01,2019-01-01,2.9
LNU04034238,Educational Services,W,2019,M02,2019-02-01,2.5
LNU04034238,Educational Services,W,2019,M03,2019-03-01,3
LNU04034238,Educational Services,W,2019,M04,2019-04-01,2
LNU04034238,Educational Services,W,2019,M05,2019-05-01,2.9
LNU04034238,Educational Services,W,2019,M06,2019-06-01,4.9
LNU04034238,Educational Services,W,2019,M07,2019-07-01,6.9
LNU04034238,Educational Services,W,2019,M08,2019-08-01,4.8
LNU04034238,Educational Services,W,2019,M09,2019-09-01,2.6
LNU04034238,Educational Services,W,2019,M10,2019-10-01,2.8
LNU04034238,Educational Services,W,2019,M11,2019-11-01,2.6
LNU04034238,Educational Services,W,2019,M12,2019-12-01,3
LNU04034238,Educational Services,W,2020,M01,2020-01-01,3.6
LNU04034238,Educational Services,W,2020,M02,2020-02-01,3.4
LNU04034238,Educational Services,W,2020,M03,2020-03-01,4.4
LNU04034238,Educational Services,W,2020,M04,2020-04-01,12.9
LNU04034238,Educational Services,W,2020,M05,2020-05-01,12.3
LNU04034238,Educational Services,W,2020,M06,2020-06-01,14.6
LNU04034238,Educational Services,W,2020,M07,2020-07-01,13.7
LNU04034238,Educational Services,W,2020,M08,2020-08-01,10.3
LNU04034238,Educational Services,W,2020,M09,2020-09-01,7
LNU04034238,Educational Services,W,2020,M10,2020-10-01,4.6
LNU04034238,Educational Services,W,2020,M11,2020-11-01,5.2
LNU04034238,Educational Services,W,2020,M12,2020-12-01,5.8
LNU04034238,Educational Services,W,2021,M01,2021-01-01,4.9
LNU04034238,Educational Services,W,2021,M02,2021-02-01,4.4
LNU04034238,Educational Services,W,2021,M03,2021-03-01,4.3
LNU04034238,Educational Services,W,2021,M04,2021-04-01,3.4
LNU04034238,Educational Services,W,2021,M05,2021-05-01,4.6
LNU04034238,Educational Services,W,2021,M06,2021-06-01,7.1
LNU04034212,Real Estate,M,2019,M01,2019-01-01,3.6
LNU04034212,Real Estate,M,2019,M02,2019-02-01,3.7
LNU04034212,Real Estate,M,2019,M03,2019-03-01,3.5
LNU04034212,Real Estate,M,2019,M04,2019-04-01,1.2
LNU04034212,Real Estate,M,2019,M05,2019-05-01,1
LNU04034212,Real Estate,M,2019,M06,2019-06-01,2.4
LNU04034212,Real Estate,M,2019,M07,2019-07-01,1.7
LNU04034212,Real Estate,M,2019,M08,2019-08-01,1.5
LNU04034212,Real Estate,M,2019,M09,2019-09-01,1.1
LNU04034212,Real Estate,M,2019,M10,2019-10-01,3.5
LNU04034212,Real Estate,M,2019,M11,2019-11-01,2
LNU04034212,Real Estate,M,2019,M12,2019-12-01,3.7
LNU04034212,Real Estate,M,2020,M01,2020-01-01,4.3
LNU04034212,Real Estate,M,2020,M02,2020-02-01,2.6
LNU04034212,Real Estate,M,2020,M03,2020-03-01,2.3
LNU04034212,Real Estate,M,2020,M04,2020-04-01,5.5
LNU04034212,Real Estate,M,2020,M05,2020-05-01,7.9
LNU04034212,Real Estate,M,2020,M06,2020-06-01,5.3
LNU04034212,Real Estate,M,2020,M07,2020-07-01,3.7
LNU04034212,Real Estate,M,2020,M08,2020-08-01,3.6
LNU04034212,Real Estate,M,2020,M09,2020-09-01,5.6
LNU04034212,Real Estate,M,2020,M10,2020-10-01,4.6
LNU04034212,Real Estate,M,2020,M11,2020-11-01,6.2
LNU04034212,Real Estate,M,2020,M12,2020-12-01,4.1
LNU04034212,Real Estate,M,2021,M01,2021-01-01,4.8
LNU04034212,Real Estate,M,2021,M02,2021-02-01,4.9
LNU04034212,Real Estate,M,2021,M03,2021-03-01,4.1
LNU04034212,Real Estate,M,2021,M04,2021-04-01,3.2
LNU04034212,Real Estate,M,2021,M05,2021-05-01,3.2
LNU04034212,Real Estate,M,2021,M06,2021-06-01,3.3
LNU04034213,Real Estate,W,2019,M01,2019-01-01,2.1
LNU04034213,Real Estate,W,2019,M02,2019-02-01,1.8
LNU04034213,Real Estate,W,2019,M03,2019-03-01,1.8
LNU04034213,Real Estate,W,2019,M04,2019-04-01,1.6
LNU04034213,Real Estate,W,2019,M05,2019-05-01,2.2
LNU04034213,Real Estate,W,2019,M06,2019-06-01,1.8
LNU04034213,Real Estate,W,2019,M07,2019-07-01,2.9
LNU04034213,Real Estate,W,2019,M08,2019-08-01,3.1
LNU04034213,Real Estate,W,2019,M09,2019-09-01,3.7
LNU04034213,Real Estate,W,2019,M10,2019-10-01,2.5
LNU04034213,Real Estate,W,2019,M11,2019-11-01,2
LNU04034213,Real Estate,W,2019,M12,2019-12-01,3.1
LNU04034213,Real Estate,W,2020,M01,2020-01-01,3.1
LNU04034213,Real Estate,W,2020,M02,2020-02-01,2.2
LNU04034213,Real Estate,W,2020,M03,2020-03-01,4.2
LNU04034213,Real Estate,W,2020,M04,2020-04-01,10.1
LNU04034213,Real Estate,W,2020,M05,2020-05-01,9.9
LNU04034213,Real Estate,W,2020,M06,2020-06-01,9.5
LNU04034213,Real Estate,W,2020,M07,2020-07-01,9.6
LNU04034213,Real Estate,W,2020,M08,2020-08-01,7.6
LNU04034213,Real Estate,W,2020,M09,2020-09-01,7.1
LNU04034213,Real Estate,W,2020,M10,2020-10-01,7.1
LNU04034213,Real Estate,W,2020,M11,2020-11-01,5.9
LNU04034213,Real Estate,W,2020,M12,2020-12-01,4
LNU04034213,Real Estate,W,2021,M01,2021-01-01,4.7
LNU04034213,Real Estate,W,2021,M02,2021-02-01,5.3
LNU04034213,Real Estate,W,2021,M03,2021-03-01,4.6
LNU04034213,Real Estate,W,2021,M04,2021-04-01,6
LNU04034213,Real Estate,W,2021,M05,2021-05-01,5.1
LNU04034213,Real Estate,W,2021,M06,2021-06-01,6.1
LNU04034265,Other Services,M,2019,M01,2019-01-01,3.2
LNU04034265,Other Services,M,2019,M02,2019-02-01,3.1
LNU04034265,Other Services,M,2019,M03,2019-03-01,2.7
LNU04034265,Other Services,M,2019,M04,2019-04-01,1.5
LNU04034265,Other Services,M,2019,M05,2019-05-01,2.3
LNU04034265,Other Services,M,2019,M06,2019-06-01,3.3
LNU04034265,Other Services,M,2019,M07,2019-07-01,3.2
LNU04034265,Other Services,M,2019,M08,2019-08-01,4.3
LNU04034265,Other Services,M,2019,M09,2019-09-01,2.9
LNU04034265,Other Services,M,2019,M10,2019-10-01,2.6
LNU04034265,Other Services,M,2019,M11,2019-11-01,2.8
LNU04034265,Other Services,M,2019,M12,2019-12-01,2.9
LNU04034265,Other Services,M,2020,M01,2020-01-01,3.9
LNU04034265,Other Services,M,2020,M02,2020-02-01,2.6
LNU04034265,Other Services,M,2020,M03,2020-03-01,2.8
LNU04034265,Other Services,M,2020,M04,2020-04-01,17.2
LNU04034265,Other Services,M,2020,M05,2020-05-01,13.1
LNU04034265,Other Services,M,2020,M06,2020-06-01,11
LNU04034265,Other Services,M,2020,M07,2020-07-01,8
LNU04034265,Other Services,M,2020,M08,2020-08-01,7.8
LNU04034265,Other Services,M,2020,M09,2020-09-01,6.6
LNU04034265,Other Services,M,2020,M10,2020-10-01,8
LNU04034265,Other Services,M,2020,M11,2020-11-01,8.4
LNU04034265,Other Services,M,2020,M12,2020-12-01,6.6
LNU04034265,Other Services,M,2021,M01,2021-01-01,8.2
LNU04034265,Other Services,M,2021,M02,2021-02-01,6.9
LNU04034265,Other Services,M,2021,M03,2021-03-01,6.1
LNU04034265,Other Services,M,2021,M04,2021-04-01,6
LNU04034265,Other Services,M,2021,M05,2021-05-01,5.7
LNU04034265,Other Services,M,2021,M06,2021-06-01,6
LNU04034266,Other Services,W,2019,M01,2019-01-01,4.4
LNU04034266,Other Services,W,2019,M02,2019-02-01,3.2
LNU04034266,Other Services,W,2019,M03,2019-03-01,3.9
LNU04034266,Other Services,W,2019,M04,2019-04-01,3.4
LNU04034266,Other Services,W,2019,M05,2019-05-01,3.4
LNU04034266,Other Services,W,2019,M06,2019-06-01,2.7
LNU04034266,Other Services,W,2019,M07,2019-07-01,3.7
LNU04034266,Other Services,W,2019,M08,2019-08-01,3.3
LNU04034266,Other Services,W,2019,M09,2019-09-01,3.4
LNU04034266,Other Services,W,2019,M10,2019-10-01,3.2
LNU04034266,Other Services,W,2019,M11,2019-11-01,3.3
LNU04034266,Other Services,W,2019,M12,2019-12-01,3.5
LNU04034266,Other Services,W,2020,M01,2020-01-01,3.6
LNU04034266,Other Services,W,2020,M02,2020-02-01,3
LNU04034266,Other Services,W,2020,M03,2020-03-01,5
LNU04034266,Other Services,W,2020,M04,2020-04-01,28.3
LNU04034266,Other Services,W,2020,M05,2020-05-01,23.2
LNU04034266,Other Services,W,2020,M06,2020-06-01,17.6
LNU04034266,Other Services,W,2020,M07,2020-07-01,12.7
LNU04034266,Other Services,W,2020,M08,2020-08-01,10.2
LNU04034266,Other Services,W,2020,M09,2020-09-01,11.6
LNU04034266,Other Services,W,2020,M10,2020-10-01,8.5
LNU04034266,Other Services,W,2020,M11,2020-11-01,7.7
LNU04034266,Other Services,W,2020,M12,2020-12-01,8.2
LNU04034266,Other Services,W,2021,M01,2021-01-01,9.3
LNU04034266,Other Services,W,2021,M02,2021-02-01,8.4
LNU04034266,Other Services,W,2021,M03,2021-03-01,7.2
LNU04034266,Other Services,W,2021,M04,2021-04-01,6.4
LNU04034266,Other Services,W,2021,M05,2021-05-01,5
LNU04034266,Other Services,W,2021,M06,2021-06-01,4.7
LNU04034217,Professional and Business Services,M,2019,M01,2019-01-01,5.2
LNU04034217,Professional and Business Services,M,2019,M02,2019-02-01,4.4
LNU04034217,Professional and Business Services,M,2019,M03,2019-03-01,4.1
LNU04034217,Professional and Business Services,M,2019,M04,2019-04-01,3.9
LNU04034217,Professional and Business Services,M,2019,M05,2019-05-01,3.1
LNU04034217,Professional and Business Services,M,2019,M06,2019-06-01,3.4
LNU04034217,Professional and Business Services,M,2019,M07,2019-07-01,3.2
LNU04034217,Professional and Business Services,M,2019,M08,2019-08-01,2.8
LNU04034217,Professional and Business Services,M,2019,M09,2019-09-01,2.8
LNU04034217,Professional and Business Services,M,2019,M10,2019-10-01,2.9
LNU04034217,Professional and Business Services,M,2019,M11,2019-11-01,3.1
LNU04034217,Professional and Business Services,M,2019,M12,2019-12-01,3.3
LNU04034217,Professional and Business Services,M,2020,M01,2020-01-01,4.4
LNU04034217,Professional and Business Services,M,2020,M02,2020-02-01,4.7
LNU04034217,Professional and Business Services,M,2020,M03,2020-03-01,5.1
LNU04034217,Professional and Business Services,M,2020,M04,2020-04-01,8.4
LNU04034217,Professional and Business Services,M,2020,M05,2020-05-01,7.4
LNU04034217,Professional and Business Services,M,2020,M06,2020-06-01,7.1
LNU04034217,Professional and Business Services,M,2020,M07,2020-07-01,6.3
LNU04034217,Professional and Business Services,M,2020,M08,2020-08-01,6.4
LNU04034217,Professional and Business Services,M,2020,M09,2020-09-01,5.8
LNU04034217,Professional and Business Services,M,2020,M10,2020-10-01,5.7
LNU04034217,Professional and Business Services,M,2020,M11,2020-11-01,6
LNU04034217,Professional and Business Services,M,2020,M12,2020-12-01,6
LNU04034217,Professional and Business Services,M,2021,M01,2021-01-01,6.8
LNU04034217,Professional and Business Services,M,2021,M02,2021-02-01,5.9
LNU04034217,Professional and Business Services,M,2021,M03,2021-03-01,5.9
LNU04034217,Professional and Business Services,M,2021,M04,2021-04-01,4.9
LNU04034217,Professional and Business Services,M,2021,M05,2021-05-01,4.8
LNU04034217,Professional and Business Services,M,2021,M06,2021-06-01,4.6
LNU04034218,Professional and Business Services,W,2019,M01,2019-01-01,4.6
LNU04034218,Professional and Business Services,W,2019,M02,2019-02-01,4.2
LNU04034218,Professional and Business Services,W,2019,M03,2019-03-01,3.4
LNU04034218,Professional and Business Services,W,2019,M04,2019-04-01,2.8
LNU04034218,Professional and Business Services,W,2019,M05,2019-05-01,3.7
LNU04034218,Professional and Business Services,W,2019,M06,2019-06-01,3.8
LNU04034218,Professional and Business Services,W,2019,M07,2019-07-01,3.9
LNU04034218,Professional and Business Services,W,2019,M08,2019-08-01,3.8
LNU04034218,Professional and Business Services,W,2019,M09,2019-09-01,3.9
LNU04034218,Professional and Business Services,W,2019,M10,2019-10-01,4.4
LNU04034218,Professional and Business Services,W,2019,M11,2019-11-01,4.3
LNU04034218,Professional and Business Services,W,2019,M12,2019-12-01,2.8
LNU04034218,Professional and Business Services,W,2020,M01,2020-01-01,3.7
LNU04034218,Professional and Business Services,W,2020,M02,2020-02-01,4
LNU04034218,Professional and Business Services,W,2020,M03,2020-03-01,4.3
LNU04034218,Professional and Business Services,W,2020,M04,2020-04-01,11.9
LNU04034218,Professional and Business Services,W,2020,M05,2020-05-01,11.3
LNU04034218,Professional and Business Services,W,2020,M06,2020-06-01,10.6
LNU04034218,Professional and Business Services,W,2020,M07,2020-07-01,9.4
LNU04034218,Professional and Business Services,W,2020,M08,2020-08-01,8.4
LNU04034218,Professional and Business Services,W,2020,M09,2020-09-01,7.8
LNU04034218,Professional and Business Services,W,2020,M10,2020-10-01,6.5
LNU04034218,Professional and Business Services,W,2020,M11,2020-11-01,5.9
LNU04034218,Professional and Business Services,W,2020,M12,2020-12-01,6.2
LNU04034218,Professional and Business Services,W,2021,M01,2021-01-01,6.8
LNU04034218,Professional and Business Services,W,2021,M02,2021-02-01,7.9
LNU04034218,Professional and Business Services,W,2021,M03,2021-03-01,7.8
LNU04034218,Professional and Business Services,W,2021,M04,2021-04-01,7.3
LNU04034218,Professional and Business Services,W,2021,M05,2021-05-01,6.3
LNU04034218,Professional and Business Services,W,2021,M06,2021-06-01,6.1
LNU04034166,Transportation and Utilities ,M,2019,M01,2019-01-01,3.1
LNU04034166,Transportation and Utilities ,M,2019,M02,2019-02-01,4
LNU04034166,Transportation and Utilities ,M,2019,M03,2019-03-01,3.7
LNU04034166,Transportation and Utilities ,M,2019,M04,2019-04-01,3.5
LNU04034166,Transportation and Utilities ,M,2019,M05,2019-05-01,4.2
LNU04034166,Transportation and Utilities ,M,2019,M06,2019-06-01,3.6
LNU04034166,Transportation and Utilities ,M,2019,M07,2019-07-01,3.6
LNU04034166,Transportation and Utilities ,M,2019,M08,2019-08-01,3.5
LNU04034166,Transportation and Utilities ,M,2019,M09,2019-09-01,2.8
LNU04034166,Transportation and Utilities ,M,2019,M10,2019-10-01,2.6
LNU04034166,Transportation and Utilities ,M,2019,M11,2019-11-01,2.9
LNU04034166,Transportation and Utilities ,M,2019,M12,2019-12-01,2.6
LNU04034166,Transportation and Utilities ,M,2020,M01,2020-01-01,3.1
LNU04034166,Transportation and Utilities ,M,2020,M02,2020-02-01,3.8
LNU04034166,Transportation and Utilities ,M,2020,M03,2020-03-01,5
LNU04034166,Transportation and Utilities ,M,2020,M04,2020-04-01,12.5
LNU04034166,Transportation and Utilities ,M,2020,M05,2020-05-01,13.1
LNU04034166,Transportation and Utilities ,M,2020,M06,2020-06-01,11.3
LNU04034166,Transportation and Utilities ,M,2020,M07,2020-07-01,10.7
LNU04034166,Transportation and Utilities ,M,2020,M08,2020-08-01,10.4
LNU04034166,Transportation and Utilities ,M,2020,M09,2020-09-01,9.4
LNU04034166,Transportation and Utilities ,M,2020,M10,2020-10-01,7.4
LNU04034166,Transportation and Utilities ,M,2020,M11,2020-11-01,8.7
LNU04034166,Transportation and Utilities ,M,2020,M12,2020-12-01,8.7
LNU04034166,Transportation and Utilities ,M,2021,M01,2021-01-01,8
LNU04034166,Transportation and Utilities ,M,2021,M02,2021-02-01,7.5
LNU04034166,Transportation and Utilities ,M,2021,M03,2021-03-01,8.1
LNU04034166,Transportation and Utilities ,M,2021,M04,2021-04-01,6.4
LNU04034166,Transportation and Utilities ,M,2021,M05,2021-05-01,7.1
LNU04034166,Transportation and Utilities ,M,2021,M06,2021-06-01,5.9
LNU04034167,Transportation and Utilities ,W,2019,M01,2019-01-01,5.2
LNU04034167,Transportation and Utilities ,W,2019,M02,2019-02-01,4.4
LNU04034167,Transportation and Utilities ,W,2019,M03,2019-03-01,3.4
LNU04034167,Transportation and Utilities ,W,2019,M04,2019-04-01,3.4
LNU04034167,Transportation and Utilities ,W,2019,M05,2019-05-01,3.7
LNU04034167,Transportation and Utilities ,W,2019,M06,2019-06-01,3.9
LNU04034167,Transportation and Utilities ,W,2019,M07,2019-07-01,4.1
LNU04034167,Transportation and Utilities ,W,2019,M08,2019-08-01,6.5
LNU04034167,Transportation and Utilities ,W,2019,M09,2019-09-01,4.3
LNU04034167,Transportation and Utilities ,W,2019,M10,2019-10-01,2.8
LNU04034167,Transportation and Utilities ,W,2019,M11,2019-11-01,3.2
LNU04034167,Transportation and Utilities ,W,2019,M12,2019-12-01,2.5
LNU04034167,Transportation and Utilities ,W,2020,M01,2020-01-01,2.8
LNU04034167,Transportation and Utilities ,W,2020,M02,2020-02-01,2.6
LNU04034167,Transportation and Utilities ,W,2020,M03,2020-03-01,5.1
LNU04034167,Transportation and Utilities ,W,2020,M04,2020-04-01,17.4
LNU04034167,Transportation and Utilities ,W,2020,M05,2020-05-01,18.1
LNU04034167,Transportation and Utilities ,W,2020,M06,2020-06-01,18.6
LNU04034167,Transportation and Utilities ,W,2020,M07,2020-07-01,23.4
LNU04034167,Transportation and Utilities ,W,2020,M08,2020-08-01,14.4
LNU04034167,Transportation and Utilities ,W,2020,M09,2020-09-01,10.9
LNU04034167,Transportation and Utilities ,W,2020,M10,2020-10-01,9.3
LNU04034167,Transportation and Utilities ,W,2020,M11,2020-11-01,5.5
LNU04034167,Transportation and Utilities ,W,2020,M12,2020-12-01,7.6
LNU04034167,Transportation and Utilities ,W,2021,M01,2021-01-01,8.7
LNU04034167,Transportation and Utilities ,W,2021,M02,2021-02-01,11.4
LNU04034167,Transportation and Utilities ,W,2021,M03,2021-03-01,9
LNU04034167,Transportation and Utilities ,W,2021,M04,2021-04-01,7.8
LNU04034167,Transportation and Utilities ,W,2021,M05,2021-05-01,7.6
LNU04034167,Transportation and Utilities ,W,2021,M06,2021-06-01,6.6
LNU04034152,Wholesale and Retail Trade,M,2019,M01,2019-01-01,4.5
LNU04034152,Wholesale and Retail Trade,M,2019,M02,2019-02-01,4.2
LNU04034152,Wholesale and Retail Trade,M,2019,M03,2019-03-01,4.3
LNU04034152,Wholesale and Retail Trade,M,2019,M04,2019-04-01,3.7
LNU04034152,Wholesale and Retail Trade,M,2019,M05,2019-05-01,3.9
LNU04034152,Wholesale and Retail Trade,M,2019,M06,2019-06-01,3.6
LNU04034152,Wholesale and Retail Trade,M,2019,M07,2019-07-01,3.6
LNU04034152,Wholesale and Retail Trade,M,2019,M08,2019-08-01,3.4
LNU04034152,Wholesale and Retail Trade,M,2019,M09,2019-09-01,3.3
LNU04034152,Wholesale and Retail Trade,M,2019,M10,2019-10-01,3.4
LNU04034152,Wholesale and Retail Trade,M,2019,M11,2019-11-01,3.3
LNU04034152,Wholesale and Retail Trade,M,2019,M12,2019-12-01,3.5
LNU04034152,Wholesale and Retail Trade,M,2020,M01,2020-01-01,3.8
LNU04034152,Wholesale and Retail Trade,M,2020,M02,2020-02-01,3.7
LNU04034152,Wholesale and Retail Trade,M,2020,M03,2020-03-01,4.5
LNU04034152,Wholesale and Retail Trade,M,2020,M04,2020-04-01,14.3
LNU04034152,Wholesale and Retail Trade,M,2020,M05,2020-05-01,12.3
LNU04034152,Wholesale and Retail Trade,M,2020,M06,2020-06-01,10.3
LNU04034152,Wholesale and Retail Trade,M,2020,M07,2020-07-01,9.4
LNU04034152,Wholesale and Retail Trade,M,2020,M08,2020-08-01,7.2
LNU04034152,Wholesale and Retail Trade,M,2020,M09,2020-09-01,7.1
LNU04034152,Wholesale and Retail Trade,M,2020,M10,2020-10-01,6.3
LNU04034152,Wholesale and Retail Trade,M,2020,M11,2020-11-01,5.7
LNU04034152,Wholesale and Retail Trade,M,2020,M12,2020-12-01,5.6
LNU04034152,Wholesale and Retail Trade,M,2021,M01,2021-01-01,6.5
LNU04034152,Wholesale and Retail Trade,M,2021,M02,2021-02-01,6.3
LNU04034152,Wholesale and Retail Trade,M,2021,M03,2021-03-01,6.5
LNU04034152,Wholesale and Retail Trade,M,2021,M04,2021-04-01,6.1
LNU04034152,Wholesale and Retail Trade,M,2021,M05,2021-05-01,6.2
LNU04034152,Wholesale and Retail Trade,M,2021,M06,2021-06-01,5.4
LNU04034153,Wholesale and Retail Trade,W,2019,M01,2019-01-01,5.1
LNU04034153,Wholesale and Retail Trade,W,2019,M02,2019-02-01,6
LNU04034153,Wholesale and Retail Trade,W,2019,M03,2019-03-01,5.1
LNU04034153,Wholesale and Retail Trade,W,2019,M04,2019-04-01,5.1
LNU04034153,Wholesale and Retail Trade,W,2019,M05,2019-05-01,4.5
LNU04034153,Wholesale and Retail Trade,W,2019,M06,2019-06-01,4.4
LNU04034153,Wholesale and Retail Trade,W,2019,M07,2019-07-01,4.4
LNU04034153,Wholesale and Retail Trade,W,2019,M08,2019-08-01,4.9
LNU04034153,Wholesale and Retail Trade,W,2019,M09,2019-09-01,3.5
LNU04034153,Wholesale and Retail Trade,W,2019,M10,2019-10-01,3.9
LNU04034153,Wholesale and Retail Trade,W,2019,M11,2019-11-01,3.6
LNU04034153,Wholesale and Retail Trade,W,2019,M12,2019-12-01,3.8
LNU04034153,Wholesale and Retail Trade,W,2020,M01,2020-01-01,5.8
LNU04034153,Wholesale and Retail Trade,W,2020,M02,2020-02-01,4.7
LNU04034153,Wholesale and Retail Trade,W,2020,M03,2020-03-01,5.6
LNU04034153,Wholesale and Retail Trade,W,2020,M04,2020-04-01,20.5
LNU04034153,Wholesale and Retail Trade,W,2020,M05,2020-05-01,18.4
LNU04034153,Wholesale and Retail Trade,W,2020,M06,2020-06-01,12.4
LNU04034153,Wholesale and Retail Trade,W,2020,M07,2020-07-01,10
LNU04034153,Wholesale and Retail Trade,W,2020,M08,2020-08-01,9.7
LNU04034153,Wholesale and Retail Trade,W,2020,M09,2020-09-01,8.6
LNU04034153,Wholesale and Retail Trade,W,2020,M10,2020-10-01,6.8
LNU04034153,Wholesale and Retail Trade,W,2020,M11,2020-11-01,6.4
LNU04034153,Wholesale and Retail Trade,W,2020,M12,2020-12-01,5.4
LNU04034153,Wholesale and Retail Trade,W,2021,M01,2021-01-01,7.4
LNU04034153,Wholesale and Retail Trade,W,2021,M02,2021-02-01,7.4
LNU04034153,Wholesale and Retail Trade,W,2021,M03,2021-03-01,6.8
LNU04034153,Wholesale and Retail Trade,W,2021,M04,2021-04-01,6.4
LNU04034153,Wholesale and Retail Trade,W,2021,M05,2021-05-01,6.9
LNU04034153,Wholesale and Retail Trade,W,2021,M06,2021-06-01,7.1
